timestamp,cpu,memory,latency,instances,label
2026-03-14 08:31:00+00:00,0.0857361433971358,0.516928,0.0,0,normal
2026-03-14 08:32:00+00:00,0.0050487996630446,0.464736,0.0,1,normal
2026-03-14 08:33:00+00:00,0.0092150069165362,0.4841919999999999,0.0,1,normal
2026-03-14 08:34:00+00:00,0.0085971161306189,0.4841920000000002,0.0,1,normal
2026-03-14 08:35:00+00:00,0.0101449389892765,0.5033919999999998,428.286991,1,normal
2026-03-14 08:36:00+00:00,0.0238564215582235,0.559504,0.0,0,normal
2026-03-14 08:37:00+00:00,0.0153862747411954,0.559504,0.0,1,normal
2026-03-14 08:38:00+00:00,0.015003637349062,0.559504,0.0,1,normal
2026-03-14 08:39:00+00:00,0.0177769438950744,0.5595040000000004,0.0,1,normal
2026-03-14 08:40:00+00:00,0.0164721959634148,0.5595039999999996,0.0,1,normal
2026-03-14 08:41:00+00:00,0.0598007915196308,0.0,0.0,1,normal
2026-03-14 08:42:00+00:00,0.0,0.0,0.0,0,normal
2026-03-14 08:43:00+00:00,0.0007041689414612,0.0267410278320312,0.0,1,normal
2026-03-14 08:44:00+00:00,0.0007454269794075,0.0267410278320312,0.0,1,normal
2026-03-14 08:45:00+00:00,0.0007098609111946,0.0267410278320312,0.0,1,normal
2026-03-14 08:46:00+00:00,0.0008139494817249,0.0267410278320312,0.0,1,normal
2026-03-14 08:47:00+00:00,0.0007135388577724,0.0267486572265625,0.0,1,normal
2026-03-14 08:48:00+00:00,0.000709160518957,0.0267486572265625,0.0,1,normal
2026-03-14 08:49:00+00:00,0.0006794307562721,0.0267486572265625,0.0,1,normal
2026-03-14 08:50:00+00:00,0.0007047983910032,0.0267486572265625,0.0,1,normal
2026-03-14 08:51:00+00:00,0.000616816316763,0.0267486572265625,0.0,1,normal
2026-03-14 08:52:00+00:00,0.000685143161426,0.0267486572265625,0.0,1,normal
2026-03-14 08:53:00+00:00,0.0006543939552882,0.0267486572265625,0.0,1,normal
2026-03-14 08:54:00+00:00,0.0007046844081369,0.0267486572265625,0.0,1,normal
2026-03-14 08:55:00+00:00,0.0007095937962222,0.0267486572265625,0.0,1,normal
2026-03-14 08:56:00+00:00,0.0006893566507131,0.0267486572265625,0.0,1,normal
2026-03-14 08:57:00+00:00,0.0,0.0,0.0,0,normal
2026-03-14 08:58:00+00:00,0.0058241465557552,0.0529263814290364,4.245004215,0,normal
2026-03-14 08:59:00+00:00,0.0007898043328774,0.0529378255208333,0.0,5,normal
2026-03-14 09:00:00+00:00,0.0005932089263478,0.0529378255208333,0.0,6,normal
2026-03-14 09:01:00+00:00,0.0005982196776811,0.0526899549888761,0.0,6,normal
